Wall time,Step,Value
1690378622.4639196,1,0.010930048301815987
1690378675.0918272,2,0.008473196066915989
1690378734.4637084,3,0.007500875275582075
1690378768.2760608,4,0.006815615110099316
1690378811.6243203,5,0.0062742820009589195
1690378896.541857,6,0.006038319319486618
1690379008.2084117,7,0.005727184005081654
1690379044.0736523,8,0.005541183054447174
1690379089.1863682,9,0.005350918974727392
1690379140.646074,10,0.005240764934569597
1690379272.908251,11,0.005093962419778109
1690379312.1943414,12,0.004999274853616953
1690379358.7269492,13,0.004911944270133972
1690379397.0466402,14,0.004825192037969828
1690379533.6930342,15,0.004763812758028507
1690379581.2195947,16,0.0047121732495725155
1690379632.5202656,17,0.004648798611015081
1690379692.1120546,18,0.004608020652085543
1690379752.833175,19,0.004564863163977861
1690379805.2861962,20,0.004534519277513027
1690379842.708387,21,0.004503920674324036
1690379879.934542,22,0.004475351423025131
1690379958.3852665,23,0.004454603418707848
1690380003.7549977,24,0.004434914328157902
1690380040.845095,25,0.004420803859829903
1690380124.3276677,26,0.00440680468454957
1690380159.176704,27,0.00439469562843442
1690380245.9953527,28,0.004384251777082682
1690380287.7616677,29,0.004375756718218327
1690380333.7573664,30,0.004368247929960489
