Wall time,Step,Value
1688304544.8029,1,0.011443903669714928
1688304593.258159,2,0.00915247481316328
1688304637.4920437,3,0.008085053414106369
1688304708.2774734,4,0.007369613740593195
1688304777.6382957,5,0.0069467127323150635
1688304833.1236413,6,0.006532030180096626
1688304899.1877942,7,0.006290244869887829
1688304962.8645682,8,0.006013497244566679
1688305031.2239478,9,0.005681229755282402
1688305094.9514601,10,0.005479989107698202
1688305159.3142645,11,0.005314060021191835
1688305222.7492757,12,0.005151641089469194
1688305287.4421313,13,0.005000328179448843
1688305355.002001,14,0.004874365869909525
1688305423.2748368,15,0.00479173706844449
1688305484.4477758,16,0.00472114747390151
1688305555.5223925,17,0.004682615865021944
1688305622.6717205,18,0.0046075982972979546
1688305692.9764972,19,0.004550685174763203
1688305754.740107,20,0.004485931247472763
1688305825.9392068,21,0.004428146872669458
1688305893.5447729,22,0.004344480112195015
1688305963.3275712,23,0.0043869479559361935
1688306027.8306043,24,0.004293420352041721
1688306098.8133287,25,0.004200567491352558
1688306163.7227156,26,0.004191876854747534
1688306232.64389,27,0.004065834451466799
1688306295.3995347,28,0.004063220228999853
1688306352.660109,29,0.003975787665694952
1688306395.7364101,30,0.003943601157516241
